,bin,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2
1,BFXS1,11/20/2020,30720,3,174,Big Fill,9.75
2,BFXS2,11/20/2020,30720,4,338,Big Fill,13.97
3,BFXS3,11/20/2020,30720,1,194,Big Fill,11.94
4,BFXS4,11/20/2020,30720,1,203,Big Fill,6.29
5,BFXS5,11/20/2020,30720,1,171,Big Fill,6.13
6,BFS1,11/20/2020,30720,1,212,Big Fill,27.38
7,BFS2,11/20/2020,30720,1,255,Big Fill,31.57
8,BFS3,11/20/2020,30720,3,245,Big Fill,20.76
9,BFS4,11/20/2020,30720,3,319,Big Fill,34.88
10,BFS5,11/20/2020,30720,2,126,Big Fill,16.88
11,BFS6,11/20/2020,30720,0,0,Big Fill,18.87
12,BFS7,11/20/2020,30720,4,241,Big Fill,27.63
13,BFS8,11/20/2020,30720,4,266,Big Fill,18.48
14,BFS9,11/20/2020,30720,1,411,Big Fill,14.16
15,BFS10,11/20/2020,30720,1,308,Big Fill,36.98
16,BFM1,11/20/2020,30720,1,165,Big Fill,88.94
17,BFM2,11/20/2020,30720,6,273,Big Fill,50.71
18,BFM3,11/20/2020,30720,1,226,Big Fill,48.89
19,BFM4,11/20/2020,30720,2,232,Big Fill,45.57
20,BFM5,11/20/2020,30712,1,200,Big Fill,40.11
21,BFM6,11/20/2020,30712,4,352,Big Fill,43.78
22,BFM7,11/20/2020,30712,3,273,Big Fill,53.41
23,BFM8,11/20/2020,200418,4,351,Big Fill,47.19
24,BFM9,11/20/2020,200418,7,406,Big Fill,38.85
25,BFM10,11/20/2020,200418,14,351,Big Fill,46.08
26,BFL1,11/20/2020,30720,9,376,Big Fill,132.83
27,BFL2,11/20/2020,30720,19,300,Big Fill,84.72
28,BFL3,11/20/2020,30712,30,365,Big Fill,85.71
29,BFL4,11/20/2020,30712,12,371,Big Fill,80.8
30,BFL5,11/20/2020,30712,9,290,Big Fill,78.44
31,BFL6,11/20/2020,30712,7,241,Big Fill,89.55
32,BFL7,11/20/2020,30712,8,237,Big Fill,97.69
33,BFL8,11/20/2020,30712,11,379,Big Fill,81.92
34,BFL9,11/20/2020,200418,7,315,Big Fill,83.43
35,BFL10,11/20/2020,200418,3,284,Big Fill,96.51
