"","bin","date","plot","numb.stalks","max.inflo.height.mm","site","basal.area.cm2"
"1","S2XS1",43711,22244,1,366,"FVEFS2",0.84202
"2","S2XS2",43711,22244,1,523,"FVEFS2",1.579146
"3","S2XS3",43711,22244,1,572,"FVEFS2",0.94007
"4","S2XS4",43713,22244,1,379,"FVEFS2",1.03202
"5","S2XS5",43713,22244,1,415,"FVEFS2",1.505185
"6","S2S1",43711,22156,2,488,"FVEFS2",2.538766
"7","S2S2",43711,22156,0,0,"FVEFS2",4.045235
"8","S2S3",43711,22244,1,572,"FVEFS2",2.75103
"9","S2S4",43713,22244,1,305,"FVEFS2",5.140989
"10","S2S5",43713,22244,1,504,"FVEFS2",9.091579
"11","S2S6",43713,22244,2,415,"FVEFS2",4.854908
"12","S2S7",43713,22244,2,352,"FVEFS2",2.978993
"13","S2S8",43713,22244,1,380,"FVEFS2",3.957801
"14","S2S9",43713,22244,1,401,"FVEFS2",3.921922
"15","S2S10",43713,22244,1,483,"FVEFS2",2.146616
"16","S2M1",43711,22244,2,492,"FVEFS2",11.65251
"17","S2M2",43713,22244,1,396,"FVEFS2",9.984359
"18","S2M3",43713,22244,4,395,"FVEFS2",12.06076
"19","S2M4",43713,22244,2,562,"FVEFS2",11.2204
"20","S2M5",43713,22244,2,470,"FVEFS2",14.03476
"21","S2M6",43713,22244,1,455,"FVEFS2",12.52136
"26","S2L1",43713,22244,1,321,"FVEFS2",18.55941
"41","RTXS1",43739,30702,2,456,"RT",2.475878
"42","RTXS2",43739,30702,2,415,"RT",3.808614
"43","RTXS3",43739,30702,1,565,"RT",1.230083
"44","RTXS4",43739,30702,2,510,"RT",2.075056
"45","RTXS5",43739,30702,1,230,"RT",0.688171
"46","RTS1",43739,30702,3,527,"RT",6.329747
"47","RTS2",43739,30702,2,365,"RT",13.19642
"48","RTS3",43739,30702,2,743,"RT",6.617079
"56","RTM1",43739,30702,2,530,"RT",15.60076
"57","RTM2",43739,30702,5,703,"RT",11.20586
"66","RTL1",43739,30702,7,834,"RT",32.11069
