,bin,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,
1,BFXS 1,8/15/2019,12000,0,0,Big Fill,1.681568483,elyely
2,BFXS 2,8/15/2019,12000,0,0,Big Fill,1.570449522,elyely
3,BFXS 3,8/15/2019,12000,0,0,Big Fill,1.576124634,elyely
4,BFXS 4,8/15/2019,12000,1,410,Big Fill,1.822674325,elyely
5,BFXS 5,8/15/2019,12000,0,0,Big Fill,1.504933195,elyely
6,BFS1,7/29/2019,12000,11,334,Big Fill,19.53493,elyely
7,BFS2,7/29/2019,12000,9,476,Big Fill,11.39401,elyely
8,BFS3,8/15/2019,12000,1,380,Big Fill,2.120850609,elyely
9,BFS4,8/15/2019,12000,1,305,Big Fill,6.524530868,elyely
10,BFS5,8/15/2019,12000,1,405,Big Fill,5.993424072,elyely
11,BFS6,8/15/2019,12000,1,425,Big Fill,12.27896187,elyely
12,BFS7,8/15/2019,12000,2,629,Big Fill,5.49713665,elyely
13,BFS8,8/15/2019,12000,1,685,Big Fill,4.153855135,elyely
15,BFS10,7/10/2020,30715,1,260,Big Fill,0.85,elyely
16,BFM1,8/30/2019,12000,20,396,Big Fill,24.79037,elyely
19,BFM4,7/10/2020,30715,15,415,Big Fill,2.69,elyely
20,BFM5,7/10/2020,30715,10,258,Big Fill,6.5,elyely
21,BFM6,7/10/2020,30715,6,274,Big Fill,5.5,elyely
22,BFM7,7/10/2020,30715,4,366,Big Fill,6.15,elyely
23,BFM8,7/10/2020,30715,5,446,Big Fill,6.25,elyely
24,BFM9,7/10/2020,30715,8,392,Big Fill,4.84,elyely
25,BFM10,7/10/2020,30715,17,332,Big Fill,8.3,elyely
26,BFL1,8/15/2019,12000,11,782,Big Fill,129.5402321,elyely
28,BFL3,7/10/2020,30715,4,360,Big Fill,13.34,elyely
29,BFL4,7/10/2020,30715,6,368,Big Fill,17.03,elyely
30,BFL5,7/10/2020,30715,5,392,Big Fill,11.36,elyely
31,BFL6,7/10/2020,30715,4,232,Big Fill,5.08,elyely
32,BFL7,7/10/2020,30715,8,375,Big Fill,7.79,elyely
33,BFL8,7/10/2020,30715,15,435,Big Fill,9.54,elyely
34,BFL9,7/10/2020,30715,10,443,Big Fill,6.09,elyely
35,BFL10,7/10/2020,30715,16,374,Big Fill,11.86,elyely
