,bin,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,
1,BFXS1,8/15/2019,12000,11,853,Big Fill,19.5151,fesari
2,BFXS2,8/15/2019,12000,2,760,Big Fill,7.318773,fesari
3,BFXS3,8/15/2019,12000,0,0,Big Fill,3.719887,fesari
4,BFXS4,8/15/2019,12000,0,0,Big Fill,10.26141,fesari
5,BFXS5,8/15/2019,30714,4,426,Big Fill,4.606548,fesari
6,BFS1,8/15/2019,12000,24,720,Big Fill,56.50483,fesari
7,BFS2,8/15/2019,12000,6,690,Big Fill,37.32287,fesari
8,BFS3,8/15/2019,12000,9,822,Big Fill,60.04915,fesari
9,BFS4,8/15/2019,12000,34,692,Big Fill,35.11108,fesari
10,BFS4,8/15/2019,12000,29,695,Big Fill,43.97005,fesari
11,BFS5,8/15/2019,30714,9,759,Big Fill,58.89452,fesari
12,BFS6,8/15/2019,30714,26,847,Big Fill,61.98274,fesari
13,BFS7,8/15/2019,30714,18,800,Big Fill,35.48767,fesari
14,BFS8,8/15/2019,30714,21,873,Big Fill,72.81733,fesari
15,BFS9,8/15/2019,30714,22,780,Big Fill,33.65282,fesari
16,BFS10,8/15/2019,30714,10,781,Big Fill,25.07332,fesari
17,BFM1,8/15/2019,12000,45,812,Big Fill,101.4212,fesari
18,BFM2,8/15/2019,12000,30,690,Big Fill,103.2058,fesari
19,BFM3,8/15/2019,12000,43,900,Big Fill,168.6167,fesari
20,BFM4,8/15/2019,30714,24,844,Big Fill,194.4341,fesari
21,BFM5,8/22/2019,30715,44,856,Big Fill,142.8686,fesari
22,BFM6,8/22/2019,30715,39,683,Big Fill,136.9631,fesari
23,BFM7,8/22/2019,30715,54,856,Big Fill,92.34521,fesari
24,BFM8,8/22/2019,30715,29,832,Big Fill,140.0415,fesari
25,BFM9,8/22/2019,30715,44,640,Big Fill,146.9545,fesari
26,BFM10,8/22/2019,30715,43,684,Big Fill,132.8587,fesari
27,BFL1,8/15/2019,12000,40,985,Big Fill,203.913,fesari
28,BFL2,8/15/2019,30714,54,932,Big Fill,221.6235,fesari
29,BFL3,8/22/2019,30715,184,705,Big Fill,232.9806,fesari
30,BFL4,8/26/2020,2004-19,38,636,Big Fill,224.43,fesari
31,BFL5,8/26/2020,2004-19,31,837,Big Fill,222.47,fesari
32,BFL6,8/26/2020,2004-19,52,854,Big Fill,248.81,fesari
33,BFL7,8/26/2020,2004-19,33,821,Big Fill,293,fesari
34,BFL8,8/26/2020,2004-19,16,785,Big Fill,220.47,fesari
35,BFL9,8/26/2020,2004-19,53,714,Big Fill,283.63,fesari
36,BFL10,8/26/2020,2004-19,44,803,Big Fill,246.43,fesari
37,BFXL1,43699,30715,91,871,Big Fill,414.1574,fesari
38,BFXL2,43699,30715,58,866,Big Fill,388.6707,fesari
39,BFXL3,8/26/2020,2004-19,32,958,Big Fill,544.73,fesari
40,BFXL4,8/26/2020,2004-19,9,796,Big Fill,437.63,fesari
41,BFXL5,8/26/2020,2004-19,45,774,Big Fill,359.41,fesari
42,BSXS1,9/17/2020,30744,0,0,Black Springs,1.87,fesari
43,BSXS2,9/17/2020,30744,0,0,Black Springs,0.9,fesari
44,BSXS3,9/17/2020,30744,0,0,Black Springs,4.03,fesari
45,BSXS4,9/17/2020,30744,0,0,Black Springs,1.67,fesari
46,BSXS5,9/17/2020,30744,0,0,Black Springs,0.44,fesari
47,BSS1,9/17/2020,30744,0,0,Black Springs,14.34,fesari
48,BSS2,9/17/2020,30744,0,0,Black Springs,7.76,fesari
49,BSS3,9/17/2020,30744,1,576,Black Springs,4.11,fesari
50,BSS4,9/17/2020,26345,0,0,Black Springs,7.25,fesari
51,BSS5,9/17/2020,26345,0,0,Black Springs,4.56,fesari
52,BSS6,9/17/2020,26345,2,446,Black Springs,4.42,fesari
53,BSS7,10/15/2020,30746,0,0,Black Springs,15.31,fesari
54,BSS8,10/15/2020,30746,0,0,Black Springs,15.68,fesari
55,BSS9,10/15/2020,30746,0,0,Black Springs,16.83,fesari
56,BSS10,10/15/2020,30746,0,0,Black Springs,14.66,fesari
57,BSM1,9/17/2020,30744,6,506,Black Springs,65.93,fesari
58,BSM2,9/17/2020,30744,4,609,Black Springs,49.12,fesari
59,BSM3,9/17/2020,26345,6,632,Black Springs,29.87,fesari
60,BSM4,10/15/2020,30746,1,545,Black Springs,37.99,fesari
61,BSM5,10/15/2020,30746,0,0,Black Springs,36.29,fesari
62,BSM6,10/15/2020,30746,1,654,Black Springs,48.56,fesari
63,BSM7,10/15/2020,30746,0,0,Black Springs,26.69,fesari
64,BSM8,10/15/2020,30746,1,446,Black Springs,32.01,fesari
65,BSM9,10/15/2020,30746,2,756,Black Springs,36.51,fesari
66,BSM10,10/15/2020,30746,1,455,Black Springs,42.16,fesari
67,BSL1,9/17/2020,26345,0,0,Black Springs,139.41,fesari
68,BSL2,10/15/2020,30746,1,589,Black Springs,67.65,fesari
69,BSL3,10/15/2020,30746,0,0,Black Springs,96.22,fesari
70,BSL4,10/15/2020,30746,0,0,Black Springs,76.22,fesari
71,BSL5,10/15/2020,30746,1,360,Black Springs,101.67,fesari
72,BSL6,10/15/2020,30746,0,0,Black Springs,71.33,fesari
73,BSL7,10/15/2020,30746,0,0,Black Springs,52.94,fesari
74,BSL8,10/15/2020,30746,3,583,Black Springs,76.71,fesari
75,BSL9,10/15/2020,30746,1,524,Black Springs,90.08,fesari
76,BSL10,10/15/2020,30746,1,674,Black Springs,143.86,fesari
77,BSXL1,10/15/2020,30746,0,0,Black Springs,236.18,fesari
78,BSXL2,10/15/2020,30746,9,750,Black Springs,264.08,fesari
79,BSXL3,10/15/2020,30746,0,0,Black Springs,348.86,fesari
80,BSXL4,10/15/2020,30746,3,790,Black Springs,289.18,fesari
81,BSXL5,10/15/2020,30746,5,710,Black Springs,500.77,fesari
82,FPXS1,9/10/2020,30731,0,0,Fry Park,0.54,fesari
83,FPXS2,9/10/2020,30731,2,554,Fry Park,1.04,fesari
84,FPXS3,9/10/2020,30731,1,428,Fry Park,0.51,fesari
85,FPXS4,9/10/2020,30731,2,276,Fry Park,1.89,fesari
86,FPXS5,9/10/2020,30731,1,418,Fry Park,0.41,fesari
87,FPS1,9/10/2020,30731,1,453,Fry Park,6.93,fesari
88,FPS2,9/10/2020,30731,6,477,Fry Park,12.69,fesari
89,FPS3,9/10/2020,30731,2,570,Fry Park,10.4,fesari
90,FPS4,9/10/2020,30731,4,535,Fry Park,8.48,fesari
91,FPS5,9/10/2020,30731,3,588,Fry Park,6.2,fesari
92,FPS6,9/10/2020,30731,1,581,Fry Park,7.27,fesari
93,FPS7,9/10/2020,30731,1,525,Fry Park,8.52,fesari
94,FPS8,9/10/2020,30731,0,0,Fry Park,9.85,fesari
95,FPS9,9/10/2020,30731,3,740,Fry Park,6.72,fesari
96,FPS10,9/10/2020,30731,3,422,Fry Park,9.93,fesari
97,FPM1,9/10/2020,30731,3,451,Fry Park,18.52,fesari
98,FPM2,9/10/2020,30731,5,444,Fry Park,17.88,fesari
99,FPM3,9/10/2020,30731,6,557,Fry Park,27.76,fesari
100,FPM4,9/10/2020,30731,6,610,Fry Park,24.42,fesari
101,FPM5,9/10/2020,30731,12,672,Fry Park,20.29,fesari
102,FPM6,9/10/2020,30731,4,589,Fry Park,28.47,fesari
103,FPM7,9/10/2020,30731,0,0,Fry Park,22.12,fesari
104,FPM8,9/10/2020,30731,2,576,Fry Park,22.31,fesari
105,FPM9,9/10/2020,30731,5,520,Fry Park,29.57,fesari
106,FPM10,9/10/2020,30731,3,633,Fry Park,23.71,fesari
107,FPL1,9/10/2020,30731,23,591,Fry Park,269.4,fesari
108,FPL2,9/10/2020,30731,18,692,Fry Park,248.86,fesari
109,FPL3,9/10/2020,30731,19,800,Fry Park,267.55,fesari
111,FPL5,9/10/2020,30731,11,690,Fry Park,232.45,fesari
112,FPL6,9/10/2020,30731,23,561,Fry Park,254.37,fesari
113,FPL7,9/10/2020,30731,25,644,Fry Park,227.74,fesari
114,FPL8,9/10/2020,30731,4,480,Fry Park,271.79,fesari
115,FPL9,9/10/2020,30731,9,573,Fry Park,248.72,fesari
116,FPL10,9/10/2020,30731,26,548,Fry Park,246.25,fesari
117,FPXL1,9/10/2020,30731,76,685,Fry Park,421.94,fesari
118,FPXL2,9/10/2020,30731,51,563,Fry Park,444.57,fesari
119,FPXL3,9/10/2020,30731,14,480,Fry Park,451.82,fesari
120,FPXL4,9/10/2020,30731,37,681,Fry Park,471.43,fesari
121,FPXL5,9/10/2020,30731,23,763,Fry Park,496.51,fesari
122,S2XS1,10/16/2020,22126,0,0,Fort Valley,3.02,fesari
123,S2XS2,10/16/2020,22126,0,0,Fort Valley,1.37,fesari
124,S2XS3,10/16/2020,22126,0,0,Fort Valley,1.74,fesari
125,S2XS4,10/16/2020,22126,0,0,Fort Valley,1.14,fesari
126,S2XS5,10/16/2020,22126,0,0,Fort Valley,3.21,fesari
127,S2S1,10/16/2020,22126,0,0,Fort Valley,8.88,fesari
128,S2S2,10/16/2020,22126,0,0,Fort Valley,15.13,fesari
129,S2S3,10/16/2020,22126,0,0,Fort Valley,9.47,fesari
130,S2S4,10/16/2020,22126,0,0,Fort Valley,11.79,fesari
131,S2S5,10/16/2020,22126,0,0,Fort Valley,22.7,fesari
132,S2S6,10/16/2020,22126,0,0,Fort Valley,16.16,fesari
133,S2S7,10/16/2020,22126,0,0,Fort Valley,17.75,fesari
134,S2S8,10/16/2020,22126,0,0,Fort Valley,10.49,fesari
135,S2S9,10/16/2020,22126,1,665,Fort Valley,15.72,fesari
136,S2S10,10/16/2020,22126,0,0,Fort Valley,15.53,fesari
137,S2M1,10/16/2020,22126,0,0,Fort Valley,49.64,fesari
138,S2M2,10/16/2020,22126,1,565,Fort Valley,28.47,fesari
139,S2M3,10/16/2020,22126,0,0,Fort Valley,36.06,fesari
140,S2M4,10/16/2020,22126,0,0,Fort Valley,40.92,fesari
141,S2M5,10/16/2020,22126,0,0,Fort Valley,26.57,fesari
142,S2M6,10/16/2020,22126,0,0,Fort Valley,44.53,fesari
143,S2M7,10/16/2020,22126,0,0,Fort Valley,31.82,fesari
144,S2M8,10/16/2020,22126,0,0,Fort Valley,34.71,fesari
145,S2M9,10/16/2020,22126,0,0,Fort Valley,39.93,fesari
146,S2M10,10/16/2020,22126,0,0,Fort Valley,42.92,fesari
147,S2L1,10/16/2020,22126,0,0,Fort Valley,68.37,fesari
148,S2L2,10/16/2020,22126,0,0,Fort Valley,63.19,fesari
149,S2L3,10/16/2020,22126,0,0,Fort Valley,86.4,fesari
150,S2L4,10/16/2020,22126,0,0,Fort Valley,112.03,fesari
151,S2L5,10/16/2020,22126,0,0,Fort Valley,51.73,fesari
152,S2L6,10/16/2020,22126,0,0,Fort Valley,90.15,fesari
153,S2L7,10/16/2020,22126,0,0,Fort Valley,81.06,fesari
154,S2L8,10/16/2020,22126,0,0,Fort Valley,93.94,fesari
155,S2L9,10/16/2020,22126,0,0,Fort Valley,63.32,fesari
156,S2L10,10/16/2020,22126,1,940,Fort Valley,59.21,fesari
157,S2XL1,10/16/2020,22126,0,0,Fort Valley,452.4,fesari
158,S2XL2,10/16/2020,22126,10,800,Fort Valley,647.33,fesari
159,S2XL3,10/16/2020,22126,0,0,Fort Valley,911.8,fesari
160,S2XL4,10/16/2020,22126,0,0,Fort Valley,305.24,fesari
161,S2XL5,10/16/2020,22126,4,770,Fort Valley,875.06,fesari
162,S3XS1,9/22/2020,23155,0,0,Fort Valley,2.22,fesari
163,S3XS2,9/22/2020,23155,0,0,Fort Valley,2.27,fesari
164,S3XS3,9/22/2020,23155,0,0,Fort Valley,4.09,fesari
165,S3XS4,9/22/2020,23155,0,0,Fort Valley,1.73,fesari
166,S3XS5,9/22/2020,23155,0,0,Fort Valley,2.21,fesari
167,S3S1,9/22/2020,23155,0,0,Fort Valley,8.01,fesari
168,S3S2,9/22/2020,23155,0,0,Fort Valley,8.19,fesari
169,S3S3,9/22/2020,23155,0,0,Fort Valley,9.88,fesari
170,S3S4,9/22/2020,23155,0,0,Fort Valley,7.5,fesari
171,S3S5,9/22/2020,23155,0,0,Fort Valley,9.75,fesari
172,S3S6,9/22/2020,23155,0,0,Fort Valley,6.86,fesari
173,S3S7,9/22/2020,23155,0,0,Fort Valley,7.44,fesari
174,S3S8,9/22/2020,23155,0,0,Fort Valley,7.9,fesari
175,S3S9,9/22/2020,23155,0,0,Fort Valley,7.29,fesari
176,S3S10,9/22/2020,23155,0,0,Fort Valley,6.15,fesari
177,S3M1,9/22/2020,23155,0,0,Fort Valley,25.75,fesari
178,S3M2,9/22/2020,23155,0,0,Fort Valley,22.04,fesari
179,S3M3,9/22/2020,23155,0,0,Fort Valley,27.55,fesari
180,S3M4,9/22/2020,23155,0,0,Fort Valley,24.23,fesari
181,S3M5,9/22/2020,23155,1,712,Fort Valley,22.83,fesari
182,S3M6,9/22/2020,23155,1,721,Fort Valley,20.27,fesari
183,S3M7,9/22/2020,23155,0,0,Fort Valley,20.9,fesari
184,S3M8,9/22/2020,23155,0,0,Fort Valley,30.89,fesari
185,S3M9,9/22/2020,23155,0,0,Fort Valley,29,fesari
186,S3M10,9/22/2020,23155,0,0,Fort Valley,25.31,fesari
187,S3L1,9/22/2020,23155,5,463,Fort Valley,242.45,fesari
188,S3L2,9/22/2020,23155,3,605,Fort Valley,183.49,fesari
189,S3L3,9/22/2020,23155,0,0,Fort Valley,129.38,fesari
190,S3L4,9/22/2020,23155,4,671,Fort Valley,198.03,fesari
191,S3L5,9/22/2020,23155,0,0,Fort Valley,159.42,fesari
192,S3L6,9/22/2020,23155,0,0,Fort Valley,91.21,fesari
193,S3L7,9/22/2020,23155,0,0,Fort Valley,98.09,fesari
194,S3L8,9/22/2020,23155,0,0,Fort Valley,114.16,fesari
195,S3L9,9/22/2020,23155,0,0,Fort Valley,115.2,fesari
196,S3L10,9/22/2020,23155,0,0,Fort Valley,210.55,fesari
197,S3XL1,9/22/2020,23155,4,592,Fort Valley,419.92,fesari
198,S3XL2,9/22/2020,23155,2,742,Fort Valley,549.46,fesari
199,S3XL3,9/22/2020,23155,7,735,Fort Valley,368.55,fesari
200,S3XL4,9/22/2020,23155,40,1041,Fort Valley,303.04,fesari
201,S3XL5,9/22/2020,23155,15,822,Fort Valley,397.07,fesari
202,RTXS1,10/15/2020,30709,1,835,Reese Tank,3.673467,fesari
203,RTXS2,10/15/2020,30709,3,781,Reese Tank,12.57516,fesari
204,RTXS3,10/15/2020,30709,0,0,Reese Tank,1.66,fesari
205,RTXS4,10/15/2020,30709,1,659,Reese Tank,2.21,fesari
206,RTXS5,10/15/2020,30709,2,702,Reese Tank,2.71,fesari
207,RTS1,43698,30709,4,721,Reese Tank,84.29995,fesari
208,RTS2,10/15/2020,30709,2,687,Reese Tank,8.22,fesari
209,RTS3,10/15/2020,30709,2,755,Reese Tank,12.67,fesari
210,RTS4,10/15/2020,30709,3,810,Reese Tank,18.4,fesari
211,RTS5,10/15/2020,30709,2,694,Reese Tank,16.57,fesari
212,RTS6,10/15/2020,30709,4,622,Reese Tank,6.07,fesari
213,RTS7,10/15/2020,30709,6,744,Reese Tank,10.41,fesari
214,RTS8,10/15/2020,30709,2,720,Reese Tank,7.69,fesari
215,RTS9,10/15/2020,30709,1,692,Reese Tank,5.45,fesari
216,RTS10,10/15/2020,30702,1,665,Reese Tank,21.29,fesari
217,RTM1,10/15/2020,30709,12,650,Reese Tank,139.5163,fesari
218,RTM2,10/15/2020,30709,10,652,Reese Tank,16.29,fesari
219,RTM3,10/15/2020,30709,9,709,Reese Tank,28.51,fesari
220,RTM4,10/15/2020,30709,2,723,Reese Tank,38,fesari
221,RTM5,10/15/2020,30709,8,806,Reese Tank,31.02,fesari
222,RTM6,10/15/2020,30709,8,720,Reese Tank,23.81,fesari
223,RTM7,10/15/2020,30709,7,730,Reese Tank,30.01,fesari
224,RTM8,10/15/2020,30709,11,794,Reese Tank,32.46,fesari
225,RTM9,10/15/2020,30702,14,682,Reese Tank,30.16,fesari
226,RTM10,10/15/2020,30702,4,612,Reese Tank,94.56,fesari
227,RTL1,10/15/2020,30709,14,845,Reese Tank,213.473,fesari
228,RTL2,10/15/2020,30709,21,761,Reese Tank,203.811,fesari
229,RTL3,10/15/2020,30709,19,721,Reese Tank,117.8,fesari
230,RTL4,10/15/2020,30709,17,698,Reese Tank,114.09,fesari
231,RTL5,10/15/2020,30702,12,756,Reese Tank,284.64,fesari
237,RTXL1,10/15/2020,30709,45,889,Reese Tank,229.2399,fesari
242,RLXS1,9/21/2020,30729,0,0,Rogers Lake,2.5,fesari
243,RLXS2,9/21/2020,30729,0,0,Rogers Lake,2.34,fesari
244,RLXS3,9/21/2020,30729,0,0,Rogers Lake,2.01,fesari
245,RLXS4,9/21/2020,30729,0,0,Rogers Lake,1.88,fesari
246,RLXS5,9/21/2020,30729,0,0,Rogers Lake,1.16,fesari
247,RLS1,9/21/2020,30729,0,0,Rogers Lake,19.93,fesari
248,RLS2,9/21/2020,30729,0,0,Rogers Lake,13.31,fesari
249,RLS3,9/21/2020,30729,0,0,Rogers Lake,1.83,fesari
250,RLS4,9/21/2020,30729,0,0,Rogers Lake,7.95,fesari
