BIN,numb.stalks,leaf.ht.mm,inflo.ht.mm,BA.cm2,site,sum.glumes,spp.code,spp,seeds_per_glume
BFL1,9,157,376,132.83,Big Fill,221,BOUGRA,blue grama,1
BFL2,19,92,300,84.72,Big Fill,574,BOUGRA,blue grama,1
BFL3,30,134,365,85.71,Big Fill,721,BOUGRA,blue grama,1
BFL5,9,169,290,78.44,Big Fill,302,BOUGRA,blue grama,1
BFM1,1,110,165,88.94,Big Fill,17,BOUGRA,blue grama,1
BFM2,6,131,273,50.71,Big Fill,125,BOUGRA,blue grama,1
BFM3,1,130,226,48.89,Big Fill,23,BOUGRA,blue grama,1
BFM4,2,100,232,45.57,Big Fill,40,BOUGRA,blue grama,1
BFS1,1,142,212,27.38,Big Fill,24,BOUGRA,blue grama,1
BFS2,1,79,255,31.57,Big Fill,14,BOUGRA,blue grama,1
BFXS1,3,93,174,9.75,Big Fill,46,BOUGRA,blue grama,1
BFXS2,4,127,338,13.97,Big Fill,69,BOUGRA,blue grama,1
BFXS3,1,123,194,11.94,Big Fill,14,BOUGRA,blue grama,1
BFM1,4,228,650,353.1,BF,193,POAFEN,muttongrass,4.5
BFS1,2,205,460,29.3,BF,98,POAFEN,muttongrass,4.5
BFXS1,1,189,390,27.9,BF,35,POAFEN,muttongrass,4.5
BSL1,28,338,543,97.2,BS,1170,POAFEN,muttongrass,4.5
BSS1,2,188,285,24.1,BS,93,POAFEN,muttongrass,4.5
BSS2,5,212,616,17.4,BS,101,POAFEN,muttongrass,4.5
BSXL1,14,370,602,233,BS,568,POAFEN,muttongrass,4.5
FPM1,8,296,376,87.5,FP,272,POAFEN,muttongrass,4.5
FPS1,4,220,510,49.6,FP,154,POAFEN,muttongrass,4.5
GKL2,3,197,258,75.9,GK,65,POAFEN,muttongrass,4.5
GKM1,7,244,391,61.9,GK,197,POAFEN,muttongrass,4.5
GKS1,3,212,517,33.8,GK,95,POAFEN,muttongrass,4.5
KPL1,12,190,525,69.2,KP,479,POAFEN,muttongrass,4.5
KPL2,20,171,317,64.2,KP,933,POAFEN,muttongrass,4.5
KPL4,6,214,635,88.2,KP,263,POAFEN,muttongrass,4.5
KPM1,2,228,545,36.5,KP,88,POAFEN,muttongrass,4.5
RLS1,5,185,331,53,RL,118,POAFEN,muttongrass,4.5
RLS2,4,186,305,49.8,RL,78,POAFEN,muttongrass,4.5
RLS3,6,295,644,31.4,RL,204,POAFEN,muttongrass,4.5
RLXS1,1,44,95,16.6,RL,26,POAFEN,muttongrass,4.5
RLXS2,10,246,500,21.9,RL,342,POAFEN,muttongrass,4.5
RLXS3,6,222,604,18.3,RL,199,POAFEN,muttongrass,4.5
S2XS1,5,282,853,13.9,S2,154,POAFEN,muttongrass,4.5
SIS1,8,270,305,5.7,SI,238,POAFEN,muttongrass,4.5
