,bin,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,
1,BFXS1,6/18/2019,30713,1,430,Big Fill,0.5045,koemac
2,BFXS2,6/18/2019,30713,1,740,Big Fill,0.5318,koemac
3,BFXS3,6/18/2019,30713,0,0,Big Fill,0.4615,koemac
4,BFXS4,7/2/2020,30713,1,520,Big Fill,2.61,koemac
5,BFXS5,7/2/2020,30713,1,273,Big Fill,1.25,koemac
6,BFS1,6/18/2019,30713,0,0,Big Fill,2.1408,koemac
7,BFS2,6/18/2019,30713,1,630,Big Fill,0.6266,koemac
8,BFS3,6/18/2019,30713,1,623,Big Fill,1.7519,koemac
9,BFS4,6/18/2019,30713,1,560,Big Fill,0.9276,koemac
10,BFS5,7/2/2020,30713,5,530,Big Fill,5.88,koemac
11,BFS6,7/2/2020,30713,0,0,Big Fill,5.19,koemac
12,BFS7,7/2/2020,30713,2,310,Big Fill,3.46,koemac
13,BFS8,7/2/2020,30713,2,375,Big Fill,3.57,koemac
14,BFS9,7/2/2020,30713,1,378,Big Fill,5.67,koemac
16,BFM1,7/2/2020,30713,0,0,Big Fill,15.72,koemac
17,BFM2,7/2/2020,30713,1,400,Big Fill,11.09,koemac
18,BFM3,7/2/2020,30713,6,402,Big Fill,9.19,koemac
19,BFM4,7/2/2020,30713,1,476,Big Fill,9.57,koemac
20,BFM5,7/2/2020,30713,6,419,Big Fill,9.42,koemac
21,BFM6,7/2/2020,30713,1,425,Big Fill,7.82,koemac
22,BFM7,7/2/2020,30713,0,0,Big Fill,7.03,koemac
23,BFM8,7/2/2020,30713,0,0,Big Fill,11.31,koemac
24,BFM9,7/2/2020,30713,0,0,Big Fill,11.69,koemac
25,BFM10,7/2/2020,30713,1,404,Big Fill,8,koemac
26,BFL1,6/18/2019,30713,2,600,Big Fill,5.529,koemac
28,BFL3,7/2/2020,30713,5,412,Big Fill,14.13,koemac
29,BFL4,7/2/2020,30713,3,662,Big Fill,17.38,koemac
30,BFL5,7/2/2020,30713,2,664,Big Fill,22.5,koemac
