,bin,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,
1,BFXS1,11/19/2020,30711,3,354,Big Fill,28.96361,muhmon
2,BFXS2,11/19/2020,30711,2,155,Big Fill,15.51768,muhmon
3,BFXS3,11/19/2020,30711,1,235,Big Fill,17.4886,muhmon
4,BFXS4,11/19/2020,30720,0,0,Big Fill,7.46,muhmon
5,BFXS5,11/19/2020,30720,0,0,Big Fill,3.57,muhmon
6,BFS1,11/19/2020,30711,3,425,Big Fill,64.91567,muhmon
7,BFS2,11/19/2020,30711,3,236,Big Fill,63.42845,muhmon
8,BFS3,11/19/2020,30720,3,121,Big Fill,10.29,muhmon
9,BFS4,11/19/2020,30720,0,0,Big Fill,15.62,muhmon
10,BFS5,11/19/2020,30720,0,0,Big Fill,11.74,muhmon
11,BFS6,11/19/2020,30720,1,70,Big Fill,14.67,muhmon
12,BFS7,11/19/2020,30720,1,145,Big Fill,20.34,muhmon
13,BFS8,11/19/2020,30720,2,359,Big Fill,12.39,muhmon
14,BFS9,11/19/2020,30720,1,265,Big Fill,35.65,muhmon
15,BFS10,11/19/2020,30720,0,0,Big Fill,18.04,muhmon
16,BFM1,43732,30711,4,393,Big Fill,113.2384,muhmon
17,BFM2,43732,30711,6,343,Big Fill,143.0575,muhmon
18,BFM3,11/19/2020,30720,9,431,Big Fill,35.47,muhmon
19,BFM4,11/19/2020,30720,0,0,Big Fill,57.51,muhmon
20,BFM5,11/19/2020,30720,5,258,Big Fill,52.57,muhmon
21,BFM6,11/19/2020,30720,2,279,Big Fill,46.12,muhmon
22,BFM7,11/19/2020,30720,3,145,Big Fill,51.03,muhmon
23,BFM8,11/19/2020,30720,0,0,Big Fill,31.19,muhmon
24,BFM9,11/19/2020,30720,1,104,Big Fill,52.41,muhmon
25,BFM10,11/19/2020,30720,0,0,Big Fill,66.82,muhmon
26,BFL1,43732,30711,24,626,Big Fill,186.1725,muhmon
27,BFL2,43732,30711,7,573,Big Fill,180.7527,muhmon
28,BFL3,43732,30711,3,456,Big Fill,177.0285,muhmon
29,BFL4,43732,30711,4,504,Big Fill,153.8116,muhmon
31,BFL6,11/19/2020,30720,0,0,Big Fill,127.45,muhmon
32,BFL7,11/19/2020,30720,19,465,Big Fill,155.81,muhmon
33,BFL8,11/19/2020,30720,19,504,Big Fill,144.46,muhmon
34,BFL9,11/19/2020,30720,7,369,Big Fill,87.05,muhmon
35,BFL10,11/19/2020,30720,10,300,Big Fill,84.33,muhmon
36,BFXL1,43732,30711,23,546,Big Fill,730.7022,muhmon
81,FPXS1,12/2/2020,30734,4,218,FP,5.522155,muhmon
82,FPXS2,12/2/2020,30734,0,0,FP,1.570246,muhmon
83,FPXS3,12/2/2020,30734,2,291,FP,1.317059,muhmon
84,FPXS4,12/2/2020,30735,1,521,FP,2.39,muhmon
85,FPXS5,12/2/2020,30735,1,568,FP,1.08,muhmon
86,FPS1,12/2/2020,30734,3,390,FP,23.07289,muhmon
87,FPS2,12/2/2020,30734,4,235,FP,17.50635,muhmon
88,FPS3,12/2/2020,30734,2,250,FP,19.15514,muhmon
89,FPS4,12/2/2020,30734,0,0,FP,20.06045,muhmon
90,FPS5,12/2/2020,30735,1,406,FP,5.6,muhmon
91,FPS6,12/2/2020,30735,1,426,FP,7.93,muhmon
92,FPS7,12/2/2020,30735,2,281,FP,5.81,muhmon
93,FPS8,12/2/2020,30735,4,581,FP,5.96,muhmon
94,FPS9,12/2/2020,30735,2,332,FP,5.5,muhmon
95,FPS10,12/2/2020,30735,4,556,FP,8.7,muhmon
96,FPM1,12/2/2020,30734,5,395,FP,57.30912,muhmon
97,FPM2,12/2/2020,30734,4,297,FP,40.60677,muhmon
98,FPM3,12/2/2020,30732,5,291,FP,44.9,muhmon
99,FPM4,12/2/2020,30732,6,242,FP,41.26,muhmon
106,FPL1,12/2/2020,30732,5,291,FP,68.47,muhmon
107,FPL2,12/2/2020,30732,4,355,FP,83.34,muhmon
116,FPXL1,12/2/2020,30732,16,312,FP,296.54,muhmon
117,FPXL2,12/2/2020,30732,22,312,FP,247,muhmon
321,KPXS1,10/15/2019,109,0,0,KP,2.51715,muhmon
322,KPXS2,10/15/2019,109,1,85,KP,0.473602,muhmon
323,KPXS3,10/15/2019,109,1,173,KP,2.431731,muhmon
324,KPXS4,10/15/2019,109,2,402,KP,1.391988,muhmon
325,KPXS5,10/15/2019,109,1,183,KP,0.888145,muhmon
326,KPS1,10/15/2019,109,0,0,KP,8.519774,muhmon
327,KPS2,10/15/2019,109,1,196,KP,6.976348,muhmon
328,KPS3,10/15/2019,109,4,135,KP,8.464813,muhmon
329,KPS4,10/15/2019,109,1,252,KP,5.713409,muhmon
330,KPS5,10/15/2019,109,2,332,KP,5.429663,muhmon
331,KPS6,10/15/2019,109,2,202,KP,4.440301,muhmon
332,KPS7,10/15/2019,109,2,305,KP,3.425283,muhmon
336,KPM1,10/15/2019,109,3,163,KP,12.87205,muhmon
337,KPM2,10/15/2019,109,1,265,KP,11.58247,muhmon
356,KPXL1,10/15/2019,109,11,375,KP,77.21519,muhmon
361,SIXS1,10/15/2019,115,1,249,SI,0.979634,muhmon
366,SIS1,10/15/2019,115,2,382,SI,12.79231,muhmon
376,SIM1,10/15/2019,115,4,351,SI,17.09872,muhmon
386,SIL1,10/15/2019,115,5,275,SI,37.28872,muhmon
