,bin,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,
81,FPXS1,12/2/2020,30739,2,180,FP,5.802693,muhtri
82,FPXS2,12/2/2020,30739,2,131,FP,14.68262,muhtri
83,FPXS3,12/2/2020,30739,1,177,FP,5.676577,muhtri
84,FPXS4,12/2/2020,30739,2,154,FP,9.121548,muhtri
85,FPXS5,12/2/2020,30739,2,99,FP,6.524955,muhtri
86,FPS1,12/2/2020,30739,1,68,FP,37.49379,muhtri
87,FPS2,12/2/2020,30739,1,92,FP,16.51016,muhtri
88,FPS3,12/2/2020,30739,5,204,FP,31.0187,muhtri
89,FPS4,12/2/2020,30737,2,228,FP,14.2,muhtri
90,FPS5,12/2/2020,30737,3,285,FP,7.44,muhtri
91,FPS6,12/2/2020,30737,3,183,FP,15.87,muhtri
92,FPS7,12/2/2020,30737,2,172,FP,15.29,muhtri
93,FPS8,12/2/2020,30737,1,91,FP,24.89,muhtri
94,FPS9,12/2/2020,30737,1,320,FP,3.6,muhtri
95,FPS10,12/2/2020,30737,1,131,FP,9.39,muhtri
96,FPM1,12/2/2020,30739,4,205,FP,52.33797,muhtri
97,FPM2,12/2/2020,30739,6,222,FP,60.88453,muhtri
98,FPM3,12/2/2020,30739,3,132,FP,67.65785,muhtri
99,FPM4,12/2/2020,30739,10,347,FP,76.16307,muhtri
100,FPM5,12/2/2020,30737,1,272,FP,21.95,muhtri
101,FPM6,12/2/2020,30737,1,228,FP,29.18,muhtri
102,FPM7,12/2/2020,30737,2,372,FP,38.65,muhtri
103,FPM8,12/2/2020,30737,2,163,FP,40.66,muhtri
104,FPM9,12/2/2020,30732,0,0,FP,30.38,muhtri
105,FPM10,12/2/2020,30732,2,192,FP,49.43,muhtri
106,FPL1,12/2/2020,30739,7,113,FP,108.899,muhtri
107,FPL2,12/2/2020,30739,4,160,FP,67.11811,muhtri
108,FPL3,12/2/2020,30737,5,202,FP,98.61,muhtri
109,FPL4,12/2/2020,30732,1,82,FP,99.59,muhtri
110,FPL5,12/2/2020,30732,0,0,FP,97.17,muhtri
111,FPL6,12/2/2020,30732,14,392,FP,98.61,muhtri
112,FPL7,12/2/2020,30732,4,215,FP,83.56,muhtri
116,FPXL1,12/2/2020,30732,0,0,FP,342.94,muhtri
201,RLXS1,12/4/2020,30729,1,356,RL,3.186151,muhtri
202,RLXS2,12/4/2020,30729,1,253,RL,4.84,muhtri
203,RLXS3,12/4/2020,30729,1,152,RL,3.34,muhtri
206,RLS1,12/4/2020,30729,1,366,RL,8.436999,muhtri
207,RLS2,12/4/2020,30729,2,310,RL,6.064636,muhtri
208,RLS3,12/4/2020,30729,1,212,RL,12.45066,muhtri
209,RLS4,12/4/2020,30729,1,403,RL,14.43117,muhtri
210,RLS5,12/4/2020,30729,1,261,RL,9.6,muhtri
211,RLS6,12/4/2020,30729,2,223,RL,19.12,muhtri
212,RLS7,12/4/2020,30729,1,191,RL,9.33,muhtri
213,RLS8,12/4/2020,30729,1,270,RL,11.71,muhtri
214,RLS9,12/4/2020,30729,1,165,RL,17.97,muhtri
215,RLS10,12/4/2020,30729,1,161,RL,12.61,muhtri
216,RLM1,12/4/2020,30729,1,183,RL,24.74675,muhtri
217,RLM2,12/4/2020,30729,1,305,RL,20.3191,muhtri
218,RLM3,12/4/2020,30729,2,336,RL,21.9643,muhtri
219,RLM4,12/4/2020,30729,1,336,RL,37.07403,muhtri
220,RLM5,12/4/2020,30729,2,289,RL,43.01,muhtri
221,RLM6,12/4/2020,30729,1,251,RL,25.78,muhtri
222,RLM7,12/4/2020,30729,1,131,RL,20.79,muhtri
223,RLM8,12/4/2020,30729,1,132,RL,29.86,muhtri
226,RLL1,12/4/2020,30729,3,347,RL,49.33598,muhtri
227,RLL2,12/4/2020,30729,2,294,RL,133.39,muhtri
228,RLL3,12/4/2020,30729,2,255,RL,75.36,muhtri
229,RLL4,12/4/2020,30729,1,177,RL,140.43,muhtri
230,RLL5,12/4/2020,30729,0,0,RL,180.68,muhtri
231,RLL6,12/4/2020,30729,0,0,RL,114.84,muhtri
232,RLL7,12/4/2020,30729,0,0,RL,95.84,muhtri
236,RLXL1,12/4/2020,30729,1,252,RL,281.44,muhtri
