,BIN,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,
1,BFXS1,6/18/2019,11999,1,390,Big Fill,27.9,poafen
2,BFXS2,6/1/2020,30712,0,0,Big Fill,4.13,poafen
3,BFXS3,6/1/2020,30712,0,0,Big Fill,1.11,poafen
4,BFXS4,6/1/2020,30712,1,346,Big Fill,1.47,poafen
5,BFXS5,6/1/2020,30712,3,333,Big Fill,0.81,poafen
6,BFS1,6/18/2019,11999,2,460,Big Fill,29.3,poafen
7,BFS2,6/1/2020,30717,9,484,Big Fill,6.91,poafen
8,BFS3,6/1/2020,30717,3,392,Big Fill,7.8,poafen
9,BFS4,6/1/2020,30717,1,280,Big Fill,20.08,poafen
10,BFS5,6/1/2020,30717,2,431,Big Fill,14.64,poafen
11,BFS6,6/1/2020,30717,4,353,Big Fill,6.37,poafen
12,BFS7,6/1/2020,30717,1,272,Big Fill,3.45,poafen
13,BFS8,6/1/2020,30714,1,443,Big Fill,17.34,poafen
14,BFS9,6/1/2020,30714,0,0,Big Fill,9.8,poafen
15,BFS10,6/1/2020,30714,1,357,Big Fill,12.19,poafen
16,BFM1,6/18/2019,11999,4,650,Big Fill,353.1,poafen
17,BFM2,6/1/2020,30717,25,486,Big Fill,47.75,poafen
18,BFM3,6/1/2020,30717,33,232,Big Fill,39.87,poafen
19,BFM4,6/1/2020,30717,46,252,Big Fill,59.11,poafen
20,BFM5,6/1/2020,11999,4,374,Big Fill,21.19,poafen
21,BFM6,6/1/2020,11999,7,391,Big Fill,33.18,poafen
22,BFM7,6/1/2020,11999,8,403,Big Fill,34.15,poafen
23,BFM8,6/1/2020,11999,6,462,Big Fill,27.69,poafen
24,BFM9,6/1/2020,11999,10,420,Big Fill,28.32,poafen
25,BFM10,6/1/2020,11999,5,492,Big Fill,22.55,poafen
26,BFL1,6/1/2020,11999,9,424,Big Fill,92.31,poafen
27,BFL2,6/1/2020,11999,6,469,Big Fill,44.31,poafen
28,BFL3,6/1/2020,11999,4,320,Big Fill,64.29,poafen
29,BFL4,6/1/2020,11999,16,330,Big Fill,59.59,poafen
30,BFL5,6/1/2020,11999,9,410,Big Fill,28.86,poafen
31,BFL6,6/1/2020,11999,7,515,Big Fill,61.42,poafen
32,BFL7,6/1/2020,11999,6,355,Big Fill,35.8,poafen
33,BFL8,6/1/2020,11999,7,400,Big Fill,75.12,poafen
36,BFXL1,6/1/2020,11999,7,443,Big Fill,111.84,poafen
37,BFXL2,6/1/2020,11999,11,413,Big Fill,81.44,poafen
41,BSXS1,6/8/2020,30743,1,400,Black Springs,1.83,poafen
42,BSXS2,6/8/2020,30743,1,496,Black Springs,3.75,poafen
43,BSXS3,6/8/2020,30743,0,0,Black Springs,2.49,poafen
44,BSXS4,6/8/2020,30743,1,590,Black Springs,6.5,poafen
45,BSXS5,6/8/2020,30743,0,0,Black Springs,3.46,poafen
46,BSS1,6/21/2019,30742,2,285,Black Springs,24.1,poafen
47,BSS2,6/21/2019,30742,5,616,Black Springs,17.4,poafen
48,BSS3,6/8/2020,30742,5,610,Black Springs,9.28,poafen
49,BSS4,6/8/2020,30742,2,230,Black Springs,8.88,poafen
50,BSS5,6/8/2020,30743,2,370,Black Springs,16.96,poafen
51,BSS6,6/8/2020,30743,5,369,Black Springs,27.56,poafen
52,BSS7,6/8/2020,30743,0,0,Black Springs,17.37,poafen
53,BSS8,6/8/2020,30744,2,496,Black Springs,7.26,poafen
54,BSS9,6/8/2020,30744,3,380,Black Springs,9.48,poafen
55,BSS10,6/8/2020,30744,2,430,Black Springs,8.47,poafen
56,BSM1,6/21/2019,30742,28,708,Black Springs,44.6,poafen
57,BSM2,6/8/2020,30742,6,410,Black Springs,35.45,poafen
58,BSM3,6/8/2020,30742,1,270,Black Springs,23.74,poafen
59,BSM4,6/8/2020,30743,7,675,Black Springs,55.17,poafen
60,BSM5,6/8/2020,30743,2,497,Black Springs,39.25,poafen
61,BSM6,6/8/2020,30744,7,612,Black Springs,21.17,poafen
62,BSM7,6/8/2020,30744,2,665,Black Springs,30.94,poafen
63,BSM8,6/8/2020,30744,2,519,Black Springs,25.13,poafen
64,BSM9,6/8/2020,30747,1,330,Black Springs,36.62,poafen
65,BSM10,6/8/2020,30747,0,0,Black Springs,28.74,poafen
66,BSL1,6/21/2019,30742,28,543,Black Springs,97.2,poafen
67,BSL2,6/8/2020,30742,1,489,Black Springs,88.83,poafen
68,BSL3,6/8/2020,30742,8,810,Black Springs,46.93,poafen
69,BSL4,6/8/2020,30743,17,856,Black Springs,55.3,poafen
70,BSL5,6/8/2020,30743,22,746,Black Springs,72.22,poafen
71,BSL6,6/8/2020,30744,4,633,Black Springs,76.49,poafen
76,BSXL1,6/21/2019,30742,14,602,Black Springs,233,poafen
78,BSXL3,6/8/2020,30743,33,646,Black Springs,115.64,poafen
79,BSXL4,6/8/2020,30744,9,614,Black Springs,108.3,poafen
80,BSXL5,6/8/2020,30747,0,0,Black Springs,161,poafen
81,FPXS1,6/4/2020,30739,1,243,Fry Park,0.91,poafen
82,FPXS2,6/4/2020,30737,3,303,Fry Park,1.94,poafen
83,FPXS3,6/4/2020,30737,1,164,Fry Park,1.13,poafen
84,FPXS4,6/4/2020,30737,4,336,Fry Park,2.78,poafen
85,FPXS5,6/4/2020,30737,1,485,Fry Park,7.4,poafen
86,FPS1,6/19/2019,30735,4,510,Fry Park,49.6,poafen
87,FPS2,6/19/2019,30737,12,694,Fry Park,13.8,poafen
88,FPS3,6/19/2019,30737,11,878,Fry Park,24.4,poafen
89,FPS4,6/19/2019,30737,16,542,Fry Park,39.1,poafen
90,FPS5,6/4/2020,30739,2,242,Fry Park,5.7,poafen
91,FPS6,6/4/2020,30739,1,372,Fry Park,7.69,poafen
92,FPS7,6/4/2020,30737,7,434,Fry Park,7.7,poafen
93,FPS8,6/4/2020,30737,3,500,Fry Park,6.03,poafen
94,FPS9,6/4/2020,30737,2,358,Fry Park,4.79,poafen
95,FPS10,6/4/2020,30737,2,487,Fry Park,12.76,poafen
