,bin,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,
1,BSXS1,10/1/2020,200446,1,131,Black Springs,13.9597,spoint
2,BSXS2,10/1/2020,200446,1,423,Black Springs,5.443835,spoint
3,BSXS3,10/1/2020,200446,2,360,Black Springs,5.890411,spoint
4,BSXS4,10/1/2020,30748,0,0,Black Springs,2.54,spoint
5,BSXS5,10/1/2020,30748,0,0,Black Springs,3.28,spoint
6,BSS1,10/1/2020,200446,1,355,Black Springs,13.54868,spoint
7,BSS2,10/1/2020,200446,2,324,Black Springs,22.475,spoint
8,BSS3,10/1/2020,30748,2,362,Black Springs,7.78,spoint
9,BSS4,10/1/2020,30748,3,341,Black Springs,16.94,spoint
10,BSS5,10/1/2020,26345,1,209,Black Springs,6.02,spoint
11,BSS6,10/1/2020,26345,0,0,Black Springs,11.65,spoint
12,BSS7,10/1/2020,26345,2,262,Black Springs,14.06,spoint
13,BSS8,10/1/2020,26345,0,0,Black Springs,10.79,spoint
14,BSS9,10/1/2020,26345,0,0,Black Springs,16.42,spoint
15,BSS10,10/1/2020,26345,3,260,Black Springs,12.43,spoint
16,BSM1,10/1/2020,200446,2,340,Black Springs,30.21134,spoint
17,BSM2,10/1/2020,200446,4,362,Black Springs,38.34405,spoint
18,BSM3,10/1/2020,200446,2,330,Black Springs,43.22564,spoint
19,BSM4,10/1/2020,200446,4,230,Black Springs,48.99146,spoint
20,BSM5,10/1/2020,200446,4,210,Black Springs,40.01258,spoint
21,BSM6,10/1/2020,200446,4,473,Black Springs,46.09802,spoint
22,BSM7,10/1/2020,30748,1,281,Black Springs,23.71,spoint
23,BSM8,10/1/2020,30745,1,344,Black Springs,23.15,spoint
24,BSM9,10/1/2020,26345,6,463,Black Springs,58.85,spoint
25,BSM10,10/1/2020,26345,1,302,Black Springs,27.83,spoint
26,BSL1,10/1/2020,200446,4,350,Black Springs,83.69568,spoint
27,BSL2,10/1/2020,200446,3,204,Black Springs,72.85927,spoint
28,BSL3,10/1/2020,200446,1,270,Black Springs,62.22908,spoint
29,BSL4,10/1/2020,200446,11,290,Black Springs,89.78355,spoint
30,BSL5,10/1/2020,200446,6,320,Black Springs,67.46818,spoint
31,BSL6,10/1/2020,26345,2,146,Black Springs,193.53,spoint
32,BSL7,10/1/2020,26345,3,330,Black Springs,65.67,spoint
33,BSL8,10/1/2020,26345,2,219,Black Springs,82.22,spoint
34,BSL9,10/1/2020,26345,1,149,Black Springs,77.53,spoint
35,BSL10,10/1/2020,26345,0,0,Black Springs,58.31,spoint
36,BSXL1,10/1/2020,30743,2,550,Black Springs,152.2488,spoint
37,BSXL2,10/1/2020,NONE,2,272,Black Springs,426.8089,spoint
38,BSXL3,10/1/2020,NONE,14,492,Black Springs,424.0611,spoint
39,BSXL4,10/1/2020,NONE,22,394,Black Springs,2549.225,spoint
40,BSXL5,10/1/2020,NONE,28,560,Black Springs,1976.811,spoint
41,FPXS1,10/8/2020,30739,1,92,Fry Park,2.94,spoint
42,FPXS2,10/8/2020,30739,1,77,Fry Park,1.4,spoint
43,FPXS3,10/8/2020,30739,0,0,Fry Park,0.74,spoint
44,FPXS4,10/8/2020,30739,1,392,Fry Park,2.87,spoint
45,FPXS5,10/8/2020,30739,1,196,Fry Park,1.41,spoint
46,FPS1,10/8/2020,30739,1,116,Fry Park,6.44,spoint
47,FPS2,10/8/2020,30739,0,0,Fry Park,7.36,spoint
48,FPS3,10/8/2020,30739,0,0,Fry Park,5.72,spoint
49,FPS4,10/8/2020,30739,0,0,Fry Park,9.82,spoint
50,FPS5,10/8/2020,30739,1,85,Fry Park,3.9,spoint
51,FPS6,10/8/2020,30740,0,0,Fry Park,4.49,spoint
52,FPS7,10/8/2020,30740,0,0,Fry Park,10.48,spoint
53,FPS8,10/8/2020,30740,0,0,Fry Park,5.27,spoint
54,FPS9,10/8/2020,30740,1,95,Fry Park,5.62,spoint
55,FPS10,10/8/2020,30740,0,0,Fry Park,8.16,spoint
56,FPM1,10/8/2020,30739,1,134,Fry Park,22.05,spoint
57,FPM2,10/8/2020,30739,0,0,Fry Park,13.99,spoint
58,FPM3,10/8/2020,30739,0,0,Fry Park,15.24,spoint
59,FPM4,10/8/2020,30740,0,0,Fry Park,14.11,spoint
60,FPM5,10/8/2020,30740,1,152,Fry Park,22.34,spoint
61,FPM6,10/8/2020,30740,1,104,Fry Park,12.99,spoint
62,FPM7,10/8/2020,30740,0,0,Fry Park,15.4,spoint
63,FPM8,10/8/2020,30740,0,0,Fry Park,18.35,spoint
64,FPM9,10/8/2020,30740,0,0,Fry Park,12.26,spoint
65,FPM10,10/8/2020,30740,0,0,Fry Park,15.48,spoint
66,FPL1,10/8/2020,30739,0,0,Fry Park,46.64,spoint
67,FPL2,10/8/2020,30739,0,0,Fry Park,40.11,spoint
68,FPL3,10/8/2020,30739,0,0,Fry Park,28.7,spoint
69,FPL4,10/8/2020,30740,0,0,Fry Park,49.06,spoint
70,FPL5,10/8/2020,30740,0,0,Fry Park,46.23,spoint
71,FPL6,10/8/2020,30740,0,0,Fry Park,46.78,spoint
72,FPL7,10/8/2020,30740,0,0,Fry Park,30.88,spoint
73,FPL8,10/8/2020,30740,0,0,Fry Park,32.25,spoint
74,FPL9,10/8/2020,30740,0,0,Fry Park,38.06,spoint
75,FPL10,10/8/2020,30740,0,0,Fry Park,32.03,spoint
76,FPXL1,10/9/2020,30740,0,0,Fry Park,294.33,spoint
77,FPXL2,10/9/2020,30740,0,0,Fry Park,508.01,spoint
78,FPXL3,10/9/2020,30740,0,0,Fry Park,937.75,spoint
79,FPXL4,10/9/2020,30740,0,0,Fry Park,578.66,spoint
80,FPXL5,10/9/2020,30740,0,0,Fry Park,289.22,spoint
