plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,species,seeds_per_glume
30720,3,174,Big Fill,9.75,BOUGRA,1
30720,4,338,Big Fill,13.97,BOUGRA,1
30720,1,194,Big Fill,11.94,BOUGRA,1
30720,1,203,Big Fill,6.29,BOUGRA,1
30720,1,171,Big Fill,6.13,BOUGRA,1
30720,1,212,Big Fill,27.38,BOUGRA,1
30720,1,255,Big Fill,31.57,BOUGRA,1
30720,3,245,Big Fill,20.76,BOUGRA,1
30720,3,319,Big Fill,34.88,BOUGRA,1
30720,2,126,Big Fill,16.88,BOUGRA,1
30720,0,0,Big Fill,18.87,BOUGRA,1
30720,4,241,Big Fill,27.63,BOUGRA,1
30720,4,266,Big Fill,18.48,BOUGRA,1
30720,1,411,Big Fill,14.16,BOUGRA,1
30720,1,308,Big Fill,36.98,BOUGRA,1
30720,1,165,Big Fill,88.94,BOUGRA,1
30720,6,273,Big Fill,50.71,BOUGRA,1
30720,1,226,Big Fill,48.89,BOUGRA,1
30720,2,232,Big Fill,45.57,BOUGRA,1
30712,1,200,Big Fill,40.11,BOUGRA,1
30712,4,352,Big Fill,43.78,BOUGRA,1
30712,3,273,Big Fill,53.41,BOUGRA,1
200418,4,351,Big Fill,47.19,BOUGRA,1
200418,7,406,Big Fill,38.85,BOUGRA,1
200418,14,351,Big Fill,46.08,BOUGRA,1
30720,9,376,Big Fill,132.83,BOUGRA,1
30720,19,300,Big Fill,84.72,BOUGRA,1
30712,30,365,Big Fill,85.71,BOUGRA,1
30712,12,371,Big Fill,80.8,BOUGRA,1
30712,9,290,Big Fill,78.44,BOUGRA,1
30712,7,241,Big Fill,89.55,BOUGRA,1
30712,8,237,Big Fill,97.69,BOUGRA,1
30712,11,379,Big Fill,81.92,BOUGRA,1
200418,7,315,Big Fill,83.43,BOUGRA,1
200418,3,284,Big Fill,96.51,BOUGRA,1
22244,1,366,FVEFS2,0.84202,BROCIL,6
22244,1,523,FVEFS2,1.579146,BROCIL,6
22244,1,572,FVEFS2,0.94007,BROCIL,6
22244,1,379,FVEFS2,1.03202,BROCIL,6
22244,1,415,FVEFS2,1.505185,BROCIL,6
22156,2,488,FVEFS2,2.538766,BROCIL,6
22156,0,0,FVEFS2,4.045235,BROCIL,6
22244,1,572,FVEFS2,2.75103,BROCIL,6
22244,1,305,FVEFS2,5.140989,BROCIL,6
22244,1,504,FVEFS2,9.091579,BROCIL,6
22244,2,415,FVEFS2,4.854908,BROCIL,6
22244,2,352,FVEFS2,2.978993,BROCIL,6
22244,1,380,FVEFS2,3.957801,BROCIL,6
22244,1,401,FVEFS2,3.921922,BROCIL,6
22244,1,483,FVEFS2,2.146616,BROCIL,6
22244,2,492,FVEFS2,11.65251,BROCIL,6
22244,1,396,FVEFS2,9.984359,BROCIL,6
22244,4,395,FVEFS2,12.06076,BROCIL,6
22244,2,562,FVEFS2,11.2204,BROCIL,6
22244,2,470,FVEFS2,14.03476,BROCIL,6
22244,1,455,FVEFS2,12.52136,BROCIL,6
22244,1,321,FVEFS2,18.55941,BROCIL,6
30702,2,456,RT,2.475878,BROCIL,6
30702,2,415,RT,3.808614,BROCIL,6
30702,1,565,RT,1.230083,BROCIL,6
30702,2,510,RT,2.075056,BROCIL,6
30702,1,230,RT,0.688171,BROCIL,6
30702,3,527,RT,6.329747,BROCIL,6
30702,2,365,RT,13.19642,BROCIL,6
30702,2,743,RT,6.617079,BROCIL,6
30702,2,530,RT,15.60076,BROCIL,6
30702,5,703,RT,11.20586,BROCIL,6
30702,7,834,RT,32.11069,BROCIL,6
16,3,83,Big Fill,2.36,CARGEO,3
16,0,0,Big Fill,1.77,CARGEO,3
16,2,30,Big Fill,4.21,CARGEO,3
16,0,0,Big Fill,1.53,CARGEO,3
16,2,42,Big Fill,5.9,CARGEO,3
16,10,20,Big Fill,8.45,CARGEO,3
16,1,36,Big Fill,7.75,CARGEO,3
30719,0,0,Big Fill,3.43,CARGEO,3
30719,0,0,Big Fill,6.89,CARGEO,3
16,4,48,Big Fill,35.55,CARGEO,3
16,0,0,Big Fill,23.91,CARGEO,3
16,0,0,Big Fill,15.8,CARGEO,3
16,0,0,Big Fill,9.01,CARGEO,3
16,6,32,Big Fill,96.61,CARGEO,3
16,5,47,Big Fill,55.7,CARGEO,3
16,4,60,Big Fill,24.07,CARGEO,3
30719,5,39,Big Fill,44.39,CARGEO,3
16,7,27,Big Fill,181.57,CARGEO,3
30741,0,0,Black Springs,1.59,CARGEO,3
30741,2,88,Black Springs,2.59,CARGEO,3
2004-46,4,39,Black Springs,4.14,CARGEO,3
30744,3,65,Black Springs,2.32,CARGEO,3
30744,1,91,Black Springs,2.19,CARGEO,3
2004-46,15,51,Black Springs,25.61018,CARGEO,3
2004-46,14,41,Black Springs,47.39329,CARGEO,3
30741,5,50,Black Springs,7.21,CARGEO,3
30743,0,0,Black Springs,8.21,CARGEO,3
30743,0,0,Black Springs,6.9,CARGEO,3
2004-46,2,28,Black Springs,5.44,CARGEO,3
2004-46,1,21,Black Springs,10.16,CARGEO,3
30744,5,78,Black Springs,17.37,CARGEO,3
30744,4,62,Black Springs,7.4,CARGEO,3
30744,0,0,Black Springs,4.95,CARGEO,3
2004-46,22,92,Black Springs,96.47405,CARGEO,3
2004-46,9,71,Black Springs,33.56842,CARGEO,3
30741,4,80,Black Springs,24.18,CARGEO,3
30743,0,0,Black Springs,23.25,CARGEO,3
30743,1,12,Black Springs,26.44,CARGEO,3
30743,7,61,Black Springs,12.83,CARGEO,3
30743,6,95,Black Springs,15.92,CARGEO,3
30743,0,0,Black Springs,12.42,CARGEO,3
30745,1,27,Black Springs,10.27,CARGEO,3
30745,4,42,Black Springs,12.67,CARGEO,3
2004-46,10,63,Black Springs,105.1538,CARGEO,3
30745,8,33,Black Springs,40.64,CARGEO,3
30745,0,0,Black Springs,37.75,CARGEO,3
30745,1,50,Black Springs,8.48,CARGEO,3
30747,4,26,Black Springs,15.33,CARGEO,3
30747,0,0,Black Springs,19.93,CARGEO,3
30743,0,0,Black Springs,19.51,CARGEO,3
30743,0,0,Black Springs,20.02,CARGEO,3
30743,7,60,Black Springs,23.39,CARGEO,3
30747,0,0,Black Springs,32.85,CARGEO,3
30741,35,123,Black Springs,165.13,CARGEO,3
30743,18,63,Black Springs,67.97,CARGEO,3
30743,14,59,Black Springs,130.24,CARGEO,3
30747,0,0,Black Springs,58.81,CARGEO,3
30748,12,43,Black Springs,95.47,CARGEO,3
30737,1,21,Fry Park,1.1,CARGEO,3
30734,2,35,Fry Park,0.93,CARGEO,3
30734,1,30,Fry Park,0.62,CARGEO,3
30735,11,97,Fry Park,16.57865,CARGEO,3
30734,3,31,Fry Park,3.21,CARGEO,3
30734,1,32,Fry Park,1.79,CARGEO,3
30734,2,44,Fry Park,1.26,CARGEO,3
30734,0,0,Fry Park,1.27,CARGEO,3
30734,2,12,Fry Park,7.69,CARGEO,3
30735,0,0,Fry Park,5.68,CARGEO,3
30737,2,35,Fry Park,5.44,CARGEO,3
30736,0,0,Fry Park,12,CARGEO,3
30736,2,20,Fry Park,7.9,CARGEO,3
30735,15,65,Fry Park,97.85756,CARGEO,3
30735,19,70,Fry Park,35.08387,CARGEO,3
30735,17,66,Fry Park,34.7209,CARGEO,3
30734,6,56,Fry Park,31.28,CARGEO,3
30733,8,48,Fry Park,15.88,CARGEO,3
30734,6,60,Fry Park,6.8,CARGEO,3
30734,2,20,Fry Park,12.25,CARGEO,3
30737,7,53,Fry Park,9.96,CARGEO,3
30734,2,37,Fry Park,21.14,CARGEO,3
30734,1,19,Fry Park,13.97,CARGEO,3
30735,27,45,Fry Park,170.4462,CARGEO,3
30734,8,18,Fry Park,32.76,CARGEO,3
30734,7,45,Fry Park,35.21,CARGEO,3
30734,9,43,Fry Park,46.07,CARGEO,3
30735,0,0,Fry Park,36.75,CARGEO,3
30737,18,47,Fry Park,41.5,CARGEO,3
30737,2,34,Fry Park,21.07,CARGEO,3
30736,4,31,Fry Park,36.86,CARGEO,3
30736,16,53,Fry Park,34.94,CARGEO,3
30736,2,34,Fry Park,26.13,CARGEO,3
30735,0,0,Fry Park,60.83,CARGEO,3
30735,1,35,Fry Park,81.33,CARGEO,3
30735,24,80,Fry Park,124.3,CARGEO,3
30735,23,78,Fry Park,187.69,CARGEO,3
30736,3,38,Fry Park,80.94,CARGEO,3
21114,0,0,Fort Valley,0.82,CARGEO,3
21114,1,34,Fort Valley,1.33,CARGEO,3
21174,0,0,Fort Valley,1.39,CARGEO,3
21269,0,0,Fort Valley,2.38,CARGEO,3
21269,2,23,Fort Valley,2.02,CARGEO,3
21114,2,30,Fort Valley,9.28,CARGEO,3
21114,0,0,Fort Valley,7.07,CARGEO,3
21114,4,41,Fort Valley,12.55,CARGEO,3
